缺陷编号,工卡描述中文,工卡描述英文,相关工卡号,相关工卡序号,区域,区域号,候选工卡,工卡描述,工卡描述已开工卡号,参考手册,候选工卡描述英文,候选工卡描述中文,已开工卡号,Candidate Workcard Description (English),Candidate Workcard Description (Chinese)
DEF-1,,LH 2# DOOR FWD STOWAGE LOWER DOOR LATCH WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-2,,LH 2# DOOR FWD STOWAGE UPPER DOOR LOOSE.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-3,,LH 2# DOOR FWD STOWAGE EDGE VERTICAL TRIM BROKEN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-4,,CABIN GALLEY OVEN MOUTING SCREWS STRIPPED.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007583813.0,,,CMM25-25-02.REV.1,,,,"CABIN GALLEY OVEN INSTALLATION SCREWS STRIPPED,QTY:50EA",
DEF-5,,"CABIN GALLEY TROLLEY DOOR INSTALLATION SCREWS AND WASHERS MISSING,QTY:50EA.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007585209.0,,,CMM25-25-02.REV.1,,,,"CABIN GALLEY TROLLEY DOOR INSTALLATION SCREWS AND WASHERS MISSING,QTY:50EA",
DEF-6,,"GALLEY A1 WORK SURFACE DOOR WALLPAPER WORN,LOC:A122 A123 A124 A125 A126 A127 A108 A117 A110 A111",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007860510.0,,,CMM25-25-02.REV.1,,,,"GALLEY A1 WORK SURFACE DOOR WALLPAPER WORN,LOC:A108 A110 A111 A117 A122 A123 A124 A125 A126 A127",
DEF-7,,"GALLEY A2 WORK SURFACE DOOR WALLPAPER WORN,LOC:A220 A221 A222 A223 A224 A204 A207 A213 A214 A215 A216",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007578690.0,,,CMM25-25-02.REV.1,,,,"GALLEY A2 WORK SURFACE DOOR WALLPAPER WORN,LOC:A220 A221 A222 A223 A224 A204 A207 A213 A214 A215 A216",
DEF-8,,"GALLEY A3 WORK SURFACE DOOR WALLPAPER WORN,LOC:A320 A321 A322 A303 A304 A315",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007578691.0,,,CMM25-25-02.REV.1,,,,"GALLEY A3 WORK SURFACE DOOR WALLPAPER WORN,LOC:A320 A321 A322 A303 A304 A315",
DEF-9,,GALLEY M5 WORK FACE LH SIDE WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007634851.0,,,CMM25-25-02.REV.1,,,,"GALLEY WORK FACE WALLPAPER WORN,LOC:M5",
DEF-10,,GALLEY M5 WORK FACE RH SIDE WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007634851.0,,,CMM25-25-02.REV.1,,,,"GALLEY WORK FACE WALLPAPER WORN,LOC:M5",
